From,Subject,Urgency,Deserve_Score,Reference,Subject_length,Urgency_Clean
Hiei,Strength. Nothing else. Maybe… trust.,high,,Yu Yu Hakusho,37,HIGH
Riza Hawkeye,Keep Colonel Mustang alive and focused.,medium,,Unknown,39,MEDIUM
Gowther,Please help me understand what ‘heart’ truly means.,high,8.2,The Seven Deadly Sins,51,HIGH
Yuno Gasai,"Yuki, Yuki, Yuki—forever with Yuki!",high,8.0,Future Diary,35,HIGH
Shiro,Let me win every game with Sora by my side.,low,8.1,No Game No Life,43,LOW
Kamina,Let my hair stay perfect even in battle.,high,7.6,Gurren Lagann,40,HIGH
Erza Scarlet,"Grant me armor unbreakable, spirit unshakable.",HIGH,9.5,Fairy Tail,46,HIGH
Brook,Yohohoho! Please let me see Laboon again.,High,6.0,One Piece,41,HIGH
Rengoku Kyojuro,Grant me the ability to find matching socks.,medium,8.9,Demon Slayer,44,MEDIUM
Shoto Todoroki,Please help me balance fire and ice without hating myself.,medium,,My Hero Academia,58,MEDIUM
Alluka Zoldyck,Let me grant wishes without hurting anyone.,HIGH,,Hunter x Hunter,43,HIGH
Nanami Kento,Let me finish work at 6 sharp and keep my students safe.,medium,8.7,Jujutsu Kaisen,56,MEDIUM
Sailor Mars,Please grant me fire and patience.,low,7.4,Sailor Moon,34,LOW
Trafalgar Law,Let me find the true history and free my people.,HIGH,8.0,One Piece,48,HIGH
Misato Katsuragi,Bless me with enough beer to deal with these kids.,medium,9.3,Evangelion,50,MEDIUM
Kurapika,"Let me avenge my clan, but keep my friends safe.",HIGH,8.1,Hunter x Hunter,48,HIGH
Asuka Langley,May I never be second place again.,HIGH,8.4,Evangelion,34,HIGH
Chopper,"Let me cure every disease in the world. Also, cotton candy every day!",HIGH,9.5,One Piece,69,HIGH
Nagisa Shiota,"Oops, forgot my prayer—please fill it in for me!",LOW,,Assassination Classroom,48,LOW
Kenshiro,Please grant me strength to protect the weak.,medium,9.0,Fist of the North Star,45,MEDIUM
Giorno Giovanna,Grant me the resolve to realize my golden dream.,medium,,JoJo's Bizarre Adventure,48,MEDIUM
Joseph Joestar,Give me quick wit to survive bizarre adventures.,high,7.6,JoJo's Bizarre Adventure,48,HIGH
Dio Brando,The world itself should bow before me!,low,,JoJo's Bizarre Adventure,38,LOW
Okabe Rintarou,El Psy Kongroo… let my timelines be stable.,High,7.0,Steins;Gate,43,HIGH
Kilala,Please give me more fish and cozy naps.,,,Inuyasha,39,
Touka Kirishima,Let me protect Anteiku and the ones I love.,High,9.8,Tokyo Ghoul,43,HIGH
Kaneki Ken,Please let me live without hurting others… even as a ghoul.,high,,Tokyo Ghoul,59,HIGH
Bulma,Just give me new inventions that actually work on the first try!,High,6.5,Dragon Ball,64,HIGH
Alphonse Elric,"Please give Brother back his body, and let cats follow me home forever.",medium,9.7,Fullmetal Alchemist,71,MEDIUM
Kuwabara Kazuma,Let me protect my friends with honor and guts.,high,7.5,Yu Yu Hakusho,46,HIGH
Shanks,Keep Luffy safe on his journey and let me see him again one day.,High,,One Piece,64,HIGH
Holo the Wise Wolf,More apples and clever trades on every road.,high,9.8,Spice and Wolf,44,HIGH
Escanor,"Dear God, please keep the WiFi stable during boss fights.",high,10.0,The Seven Deadly Sins,57,HIGH
Shiroe,Please let strategy and wisdom protect my guild.,,8.1,Log Horizon,48,
Kamui,"Strength to walk my own path, even away from family.",HIGH,,Unknown,52,HIGH
Yoko Littner,"Keep everyone safe, and bullets plenty.",high,8.6,Gurren Lagann,39,HIGH
Shanks (One Piece),Peace across the seas and laughter for the next generation.,medium,9.4,One Piece,59,MEDIUM
Android 18,"Make my Mondays disappear forever, please.",HIGH,7.4,Dragon Ball,42,HIGH
Kakashi Hatake,"May my students surpass me, and may no one ever find out what's under my mask.",medium,7.9,Naruto,78,MEDIUM
Rintarou Okabe,Steins;Gate’s choice should always protect my friends.,medium,8.1,Steins;Gate,54,MEDIUM
Soma Yukihira,Please let me cook dishes that surprise and delight everyone!,medium,,Food Wars,61,MEDIUM
Natsu Dragneel,"Fire in my fists, and friends at my side!",High,9.5,Fairy Tail,41,HIGH
Lucy Heartfilia,Please let my rival get stuck in tutorial levels forever.,high,,Fairy Tail,57,HIGH
Gray Fullbuster,"Strength to stand, even when everything melts away.",High,7.0,Fairy Tail,51,HIGH
Senku Ishigami,Grant me science to rebuild civilization.,High,,Dr. Stone,41,HIGH
Rika Furude,Please let my friends live happily without repeating tragedies.,HIGH,9.1,Higurashi,63,HIGH
Eureka,Peace between humans and Coralians.,high,9.0,Eureka Seven,35,HIGH
Tsunade,"Grant me luck in gambling, and strength to heal my people.",High,,Naruto,58,HIGH
Shinobu Kocho,Grant me patience for my comrades… and insect poison that works.,high,9.6,Demon Slayer,64,HIGH
Euphemia li Britannia,Please let me build a world without hate.,HIGH,9.3,Code Geass,41,HIGH
Lelouch Lamperouge,Grant me the power to change the world for Nunnally.,HIGH,,Code Geass,52,HIGH
C.C.,Give me more pizza and freedom from contracts.,high,8.7,Code Geass,46,HIGH
Kamijo Touma,Please keep my right hand from ruining every good thing.,high,,A Certain Magical Index,56,HIGH
Kazuma Satou,Please let me live peacefully with money and comfort… and maybe not die stupidly.,HIGH,8.3,KonoSuba,81,HIGH
Aqua,Bless me with worshippers! Or at least beer!,,,KonoSuba,44,
Megumi Tadokoro,Please let me find confidence in my cooking.,,7.7,Food Wars,44,
Reigen Arataka,May clients never discover my secrets and always pay on time.,high,7.5,Mob Psycho 100,61,HIGH
Mob (Shigeo Kageyama),"Please let me live a normal life, even with this power.",HIGH,8.0,Mob Psycho 100,55,HIGH
Natsu Dragneel,"Fire in my fists, and friends at my side!",High,9.5,Fairy Tail,41,HIGH
Nanami Kento,Let me finish work at 6 sharp and keep my students safe.,medium,8.7,Jujutsu Kaisen,56,MEDIUM
Alphonse Elric,"Please give Brother back his body, and let cats follow me home forever.",medium,9.7,Fullmetal Alchemist,71,MEDIUM
